x_coordinate,y_coordinate,z_coordinate
-188.600000,2.650000,0.000000
-187.600000,2.650000,0.000000
-186.600000,2.650000,0.000000
-185.600000,2.650000,0.000000
-184.600000,2.650000,0.000000
-183.600000,2.650000,0.000000
-182.600000,2.650000,0.000000
-181.600000,2.650000,0.000000
-180.600000,2.650000,0.000000
-179.600000,2.650000,0.000000
-178.600000,2.650000,0.000000
-177.600000,2.650000,0.000000
-176.600000,2.650000,0.000000
-175.600000,2.650000,0.000000
-174.600000,2.650000,0.000000
-173.600000,2.650000,0.000000
-172.600000,2.650000,0.000000
-171.600000,2.650000,0.000000
-170.600000,2.650000,0.000000
-169.600000,2.650000,0.000000
-168.600000,2.650000,0.000000
-167.600000,2.650000,0.000000
-166.600000,2.650000,0.000000
-165.600000,2.650000,0.000000
-164.600000,2.650000,0.000000
-163.600000,2.650000,0.000000
-162.600000,2.650000,0.000000
-161.600000,2.650000,0.000000
-160.600000,2.650000,0.000000
-159.600000,2.650000,0.000000
-158.600000,2.650000,0.000000
-157.600000,2.650000,0.000000
-156.600000,2.650000,0.000000
-155.600000,2.650000,0.000000
-154.600000,2.650000,0.000000
-153.600000,2.650000,0.000000
-152.600000,2.650000,0.000000
-151.600000,2.650000,0.000000
-150.600000,2.650000,0.000000
-149.600000,2.650000,0.000000
-148.600000,2.650000,0.000000
-147.600000,2.650000,0.000000
-146.600000,2.650000,0.000000
-145.600000,2.650000,0.000000
-144.600000,2.650000,0.000000
-143.600000,2.650000,0.000000
-142.600000,2.650000,0.000000
-141.600000,2.650000,0.000000
-140.600000,2.650000,0.000000
-139.600000,2.650000,0.000000
-138.600000,2.650000,0.000000
-137.600000,2.650000,0.000000
-136.600000,2.650000,0.000000
-135.600000,2.650000,0.000000
-134.600000,2.650000,0.000000
-133.600000,2.650000,0.000000
-132.600000,2.650000,0.000000
-131.600000,2.650000,0.000000
-130.600000,2.650000,0.000000
-129.600000,2.650000,0.000000
-128.600000,2.650000,0.000000
-127.600000,2.650000,0.000000
-126.600000,2.650000,0.000000
-125.600000,2.650000,0.000000
-124.600000,2.650000,0.000000
-123.600000,2.650000,0.000000
-122.600000,2.650000,0.000000
-121.600000,2.650000,0.000000
-120.600000,2.650000,0.000000
-119.600000,2.650000,0.000000
-118.600000,2.650000,0.000000
-117.600000,2.650000,0.000000
-116.600000,2.650000,0.000000
-115.600000,2.650000,0.000000
-114.600000,2.650000,0.000000
-113.600000,2.650000,0.000000
-112.600000,2.650000,0.000000
-111.600000,2.650000,0.000000
-110.600000,2.650000,0.000000
-109.600000,2.650000,0.000000
-108.600000,2.650000,0.000000
-108.600000,2.650000,0.000000
-107.600000,2.650000,0.000000
-106.600000,2.650000,0.000000
-105.600000,2.650000,0.000000
-104.600000,2.650000,0.000000
-103.600000,2.650000,0.000000
-102.600000,2.650000,0.000000
-101.600000,2.650000,0.000000
-100.600000,2.650000,0.000000
-99.600000,2.650000,0.000000
-98.600000,2.650000,0.000000
-97.600000,2.650000,0.000000
-96.600000,2.650000,0.000000
-95.600000,2.650000,0.000000
-94.600000,2.650000,0.000000
-93.600000,2.650000,0.000000
-92.600000,2.650000,0.000000
-91.600000,2.650000,0.000000
-90.600000,2.650000,0.000000
-89.600000,2.650000,0.000000
-88.600000,2.650000,0.000000
-87.600000,2.650000,0.000000
-86.600000,2.650000,0.000000
-85.600000,2.650000,0.000000
-84.600000,2.650000,0.000000
-83.600000,2.650000,0.000000
-82.600000,2.650000,0.000000
-82.350000,2.650000,0.000000
-81.350000,2.650000,0.000000
-80.350000,2.650000,0.000000
-79.350000,2.650000,0.000000
-78.600000,2.650000,0.000000
-77.915570,2.601207,0.000000
-77.196752,2.454079,0.000000
-76.454521,2.209338,0.000000
-75.702277,1.870569,0.000000
-74.954096,1.443933,0.000000
-74.223822,0.937548,0.000000
-73.524696,0.360961,0.000000
-72.869235,-0.275222,0.000000
-72.269199,-0.959534,0.000000
-71.735533,-1.679734,0.000000
-71.278208,-2.422846,0.000000
-70.905929,-3.175223,0.000000
-70.625656,-3.922807,0.000000
-70.441996,-4.651791,0.000000
-70.356721,-5.350034,0.000000
-70.350000,-5.600000,0.000000
-70.350000,-6.600000,0.000000
-70.350000,-7.600000,0.000000
-70.350000,-8.600000,0.000000
-70.350000,-9.600000,0.000000
-70.350000,-10.600000,0.000000
-70.350000,-11.600000,0.000000
-70.350000,-12.600000,0.000000
-70.350000,-13.600000,0.000000
-70.350000,-14.600000,0.000000
-70.350000,-15.600000,0.000000
-70.350000,-16.600000,0.000000
-70.350000,-17.600000,0.000000
-70.350000,-18.600000,0.000000
-70.350000,-19.600000,0.000000
-70.350000,-20.600000,0.000000
-70.350000,-21.600000,0.000000
-70.350000,-22.600000,0.000000
-70.350000,-23.600000,0.000000
-70.350000,-24.600000,0.000000
-70.350000,-25.600000,0.000000
-70.350000,-26.600000,0.000000
-70.350000,-27.600000,0.000000
-70.350000,-28.600000,0.000000
-70.350000,-29.600000,0.000000
-70.350000,-30.600000,0.000000
-70.350000,-31.600000,0.000000
-70.350000,-32.600000,0.000000
-70.350000,-33.600000,0.000000
-70.350000,-34.600000,0.000000
-70.350000,-35.600000,0.000000
-70.350000,-36.600000,0.000000
-70.350000,-37.600000,0.000000
-70.350000,-38.600000,0.000000
-70.350000,-39.600000,0.000000
-70.350000,-40.600000,0.000000
-70.350000,-41.600000,0.000000
-70.350000,-42.600000,0.000000
-70.350000,-43.600000,0.000000
-70.350000,-44.600000,0.000000
-70.350000,-45.600000,0.000000
-70.322792,-46.687091,0.000000
-70.241317,-47.771341,0.000000
-70.105773,-48.850258,0.000000
-69.916418,-49.921102,0.000000
-69.673822,-50.981005,0.000000
-69.378576,-52.027528,0.000000
-69.031324,-53.058072,0.000000
-68.633053,-54.069825,0.000000
-68.184739,-55.060455,0.000000
-67.687386,-56.027546,0.000000
-67.142381,-56.968430,0.000000
-66.551070,-57.880924,0.000000
-65.914788,-58.762838,0.000000
-65.235286,-59.611724,0.000000
-64.514258,-60.425594,0.000000
-63.753341,-61.202519,0.000000
-62.954596,-61.940342,0.000000
-62.120044,-62.637314,0.000000
-61.251588,-63.291800,0.000000
-60.351532,-63.901989,0.000000
-59.422196,-64.466413,0.000000
-58.465714,-64.983761,0.000000
-57.484553,-65.452611,0.000000
-56.481304,-65.871812,0.000000
-55.458281,-66.240408,0.000000
-54.418046,-66.557384,0.000000
-53.363413,-66.821949,0.000000
